dataset,name,variant,note,out_dir,epoch,Threshold,Acc,Prec,Rec,FAR,F1,AUC,seconds,train_size,test_size
cic,CIC-IDS2017,no_cffm,Remove decoder cross-layer feature fusion skip aggregation.,outputs/ablation_30_remote_fast/20260606_214514/cic/no_cffm,1,0.5091948327789731,0.8134911945947637,0.9569380623503838,0.7704816340998715,0.08324468085106383,0.8536468624587327,0.8914802065627583,1209.8979942798615,102592,127876
cic,CIC-IDS2017,no_freq_loss,"Keep FFT branch and score, but remove frequency consistency loss.",outputs/ablation_30_remote_fast/20260606_214514/cic/no_freq_loss,15,0.3493679977751105,0.7095623885639213,0.932267091861638,0.6347091142717888,0.11071808510638298,0.7552359988928284,0.8598265699726513,1243.2120740413666,102592,127876
cic,CIC-IDS2017,no_latent_loss,Remove discriminator feature matching loss and latent score contribution.,outputs/ablation_30_remote_fast/20260606_214514/cic/no_latent_loss,20,0.38554347239307674,0.7173355438080641,0.9365040965099026,0.643216358722141,0.10470744680851064,0.7626346204360389,0.8266896175605212,1242.2383244037628,102592,127876
cic,CIC-IDS2017,no_adv_loss,Remove generator adversarial objective and discriminator score contribution.,outputs/ablation_30_remote_fast/20260606_214514/cic/no_adv_loss,30,0.37175809121692854,0.7167021176764992,0.9659316218685885,0.6205968363684701,0.0525531914893617,0.7556802471050804,0.852088175458146,1242.5774171352386,102592,127876
cic,CIC-IDS2017,rec_only_score,Train the full model but use reconstruction error only for anomaly scoring.,outputs/ablation_30_remote_fast/20260606_214514/cic/rec_only_score,10,0.4955266090109284,0.7032750477024617,0.9728738207973398,0.5963157428330896,0.03992021276595745,0.7394135018199299,0.8571456042486256,1243.514719247818,102592,127876
toniot,TON_IoT,full,Complete FFT-STGAN-IDS model.,outputs/ablation_30_remote_fast/20260606_214514/toniot/full,30,0.25726176603919004,0.7845964480393881,0.8552315608919383,0.756371359223301,0.17649519029694688,0.8027692803091291,0.7553519112935645,132.31429982185364,5581,5687
toniot,TON_IoT,baseline_gan,"Paper-style baseline: remove spatio-temporal fusion, FFT prior, and cross-layer fusion.",outputs/ablation_30_remote_fast/20260606_214514/toniot/baseline_gan,30,0.5815441593363221,0.5918762088974855,0.8071833648393195,0.3886529126213592,0.12797992471769135,0.5246774523858284,0.40652040621586616,100.87482619285583,5581,5687
toniot,TON_IoT,no_fft_prior,Remove the learnable FFT band prior branch and its frequency score/loss.,outputs/ablation_30_remote_fast/20260606_214514/toniot/no_fft_prior,30,0.3773604484293457,0.8791981712678038,0.8782255726297478,0.9189927184466019,0.17565872020075282,0.8981467753891772,0.7940598441566878,120.08273434638977,5581,5687
toniot,TON_IoT,no_temporal_gru,Remove the GRU temporal branch inside spatio-temporal fusion.,outputs/ablation_30_remote_fast/20260606_214514/toniot/no_temporal_gru,30,0.2967895043740443,0.7550553894847899,0.8476434051881622,0.7038834951456311,0.17440401505646172,0.7691032653737776,0.6965916635197525,116.23994159698486,5581,5687
toniot,TON_IoT,no_st_fusion,Bypass the spatio-temporal/frequency fusion block after each encoder stage.,outputs/ablation_30_remote_fast/20260606_214514/toniot/no_st_fusion,30,0.174588999732868,0.7684192016880604,0.8520099608680185,0.7266383495145631,0.1739857800083647,0.7843458326510562,0.6673999738095527,110.71285367012024,5581,5687
toniot,TON_IoT,no_cffm,Remove decoder cross-layer feature fusion skip aggregation.,outputs/ablation_30_remote_fast/20260606_214514/toniot/no_cffm,30,0.5133743752496431,0.7070511693335678,0.839300582847627,0.6116504854368932,0.1614387285654538,0.7076167076167076,0.5777564430530345,129.21173548698425,5581,5687
toniot,TON_IoT,no_freq_loss,"Keep FFT branch and score, but remove frequency consistency loss.",outputs/ablation_30_remote_fast/20260606_214514/toniot/no_freq_loss,30,0.3029818992084599,0.7503077193599438,0.8445995591476855,0.6975121359223301,0.17691342534504392,0.7640412097042206,0.6418755811639929,129.12029004096985,5581,5687
toniot,TON_IoT,no_latent_loss,Remove discriminator feature matching loss and latent score contribution.,outputs/ablation_30_remote_fast/20260606_214514/toniot/no_latent_loss,30,0.297284272891038,0.7654299279057499,0.8501070663811563,0.7226941747572816,0.17565872020075282,0.7812397507379469,0.6391076924794842,128.8817069530487,5581,5687
toniot,TON_IoT,no_adv_loss,Remove generator adversarial objective and discriminator score contribution.,outputs/ablation_30_remote_fast/20260606_214514/toniot/no_adv_loss,30,0.27516411512433775,0.8791981712678038,0.8782255726297478,0.9189927184466019,0.17565872020075282,0.8981467753891772,0.8058954138293682,128.59166145324707,5581,5687
toniot,TON_IoT,rec_only_score,Train the full model but use reconstruction error only for anomaly scoring.,outputs/ablation_30_remote_fast/20260606_214514/toniot/rec_only_score,30,0.2993742952384354,0.7891682785299806,0.8567539979584893,0.7639563106796117,0.17607695524884986,0.8076984763432238,0.7221952365870395,130.53944063186646,5581,5687
